dataset,method,compression_ratio,file_size_mb,write_time,read_time,write_throughput_gbs,read_throughput_gbs,bytes_read,actual_io_bytes,chunk_size,creation_time,conversion_time,run_number,run_directory
4D_Diff-4x4-binning,single_frame_lz4_hdf5,3.0819494459311616,332.25723457336426,1.695044755935669,1.4749693870544434,0.589954923902878,0.6779801728610985,1073741824.0,0.0,"(1, 1, 64, 64)",,,1,run_001_20251205_173729
4D_Diff-4x4-binning,single_frame_bitshuffle_lz4,4.091780788111599,250.25778579711917,1.3780641555786133,0.6988906860351562,0.725655620568787,1.4308389280061131,1073741824.0,0.0,"(1, 1, 64, 64)",,,1,run_001_20251205_173729
4D_Diff-4x4-binning,sparse_csr,2.5548504550828266,400.8062381744385,0.7719762325286865,0.5214476585388184,,,,,,4.048766374588013,,1,run_001_20251205_173729
4D_Diff-4x4-binning,uint8_overflow,3.999991148729837,256.00056648254395,0.0815591812133789,,,,,,,,1.0501158237457275,1,run_001_20251205_173729
4D_Diff-4x4-binning,simple_gzip,6.789542958127401,150.8201665878296,372.62947034835815,,,,,,,,,1,run_001_20251205_173729
4D_EELS,real_space_none,0.9999976456220744,2048.004821777344,1.1607658863067627,2.076282501220703,1.7230003255552668,0.963260056771728,2147483648.0,0.0,"(32, 32, 256, 256)",,,1,run_001_20251205_173729
4D_EELS,real_space_gzip_1,22.45214794513032,91.21621704101562,4.619528532028198,2.044361114501953,0.4329446146145789,0.9783007443316782,2147483648.0,0.0,"(32, 32, 256, 256)",,,1,run_001_20251205_173729
4D_EELS,real_space_gzip_6,29.19930104431229,70.13866519927979,16.7094829082489,2.276033401489258,0.119692512986902,0.8787217264436263,2147483648.0,0.0,"(32, 32, 256, 256)",,,1,run_001_20251205_173729
4D_EELS,real_space_gzip_9,30.99045957029622,66.08485412597656,153.66633796691897,2.151839017868042,0.0130152122218892,0.929437557081534,2147483648.0,0.0,"(32, 32, 256, 256)",,,1,run_001_20251205_173729
4D_EELS,real_space_lzf,14.995465769556477,136.57461738586426,4.959336519241333,4.109482288360596,0.4032797516845973,0.4866793088912093,2147483648.0,0.0,"(32, 32, 256, 256)",,,1,run_001_20251205_173729
4D_EELS,real_space_szip,28.599758074169387,71.6089973449707,3.4773197174072266,2.551795959472656,0.5751556263256828,0.7837617238069896,2147483648.0,0.0,"(32, 32, 256, 256)",,,1,run_001_20251205_173729
4D_EELS,real_space_blosc_blosclz,18.848683024809127,108.65480613708496,1.2930924892425537,0.8543906211853027,1.5466797747557306,2.3408496657247766,2147483648.0,0.0,"(32, 32, 256, 256)",,,1,run_001_20251205_173729
4D_EELS,real_space_blosc_lz4,18.607402615738103,110.06372261047365,0.920856237411499,0.7832796573638916,2.1718916794460164,2.5533664524506494,2147483648.0,0.0,"(32, 32, 256, 256)",,,1,run_001_20251205_173729
4D_EELS,real_space_blosc_lz4hc,24.84856892559524,82.41923332214355,6.427003383636475,0.7352805137634277,0.3111870152569262,2.7200503244173944,2147483648.0,0.0,"(32, 32, 256, 256)",,,1,run_001_20251205_173729
4D_EELS,real_space_blosc_zlib,33.03914370626136,61.98707866668701,9.985129594802856,1.9962818622589111,0.2002978510204791,1.0018625314447738,2147483648.0,0.0,"(32, 32, 256, 256)",,,1,run_001_20251205_173729
4D_EELS,real_space_blosc_zstd,33.49886157600311,61.13640594482422,2.830636978149414,0.9536740779876708,0.7065547491390225,2.097152524288131,2147483648.0,0.0,"(32, 32, 256, 256)",,,1,run_001_20251205_173729
4D_EELS,real_space_lz4_hdf5,15.070820045529311,135.89174270629883,1.040391206741333,1.4548451900482178,1.922353809836889,1.3747167146586328,2147483648.0,0.0,"(32, 32, 256, 256)",,,1,run_001_20251205_173729
4D_EELS,real_space_bitshuffle_lz4,22.56631924463424,90.7547206878662,1.264207124710083,1.11834979057312,1.5820192442426348,1.7883492417654596,2147483648.0,0.0,"(32, 32, 256, 256)",,,1,run_001_20251205_173729
4D_EELS,balanced_none,0.9999891334462828,2048.022254943848,1.0426952838897705,3.01102876663208,1.918105923083308,0.6642248065391471,2147483648.0,0.0,"(16, 16, 128, 128)",,,1,run_001_20251205_173729
4D_EELS,balanced_gzip_1,23.492631008406462,87.17627239227295,4.547413349151611,2.126110553741455,0.4398104694778033,0.9406848559593808,2147483648.0,0.0,"(16, 16, 128, 128)",,,1,run_001_20251205_173729
4D_EELS,balanced_gzip_6,30.591163500992515,66.94743728637695,16.550470113754272,2.3258814811706543,0.1208424888389061,0.8598890425806939,2147483648.0,0.0,"(16, 16, 128, 128)",,,1,run_001_20251205_173729
4D_EELS,balanced_gzip_9,32.55117725203643,62.916311264038086,151.98301720619202,2.2537882328033447,0.0131593650183075,0.887394818594969,2147483648.0,0.0,"(16, 16, 128, 128)",,,1,run_001_20251205_173729
4D_EELS,balanced_lzf,15.01605211062166,136.38737964630127,5.039580821990967,4.136455059051514,0.3968584036340284,0.4835057969803251,2147483648.0,0.0,"(16, 16, 128, 128)",,,1,run_001_20251205_173729
4D_EELS,balanced_szip,24.702072880308474,82.90802192687988,3.6050562858581534,2.6739072799682617,0.554776358928309,0.7479690918915256,2147483648.0,0.0,"(16, 16, 128, 128)",,,1,run_001_20251205_173729
4D_EELS,balanced_blosc_blosclz,15.340270564858994,133.50481605529785,1.358971357345581,0.8127074241638184,1.4717013638216128,2.460910212623894,2147483648.0,0.0,"(16, 16, 128, 128)",,,1,run_001_20251205_173729
4D_EELS,balanced_blosc_lz4,18.741548439831664,109.27592277526855,0.958381175994873,0.7831861972808838,2.0868523402745747,2.5536711537355083,2147483648.0,0.0,"(16, 16, 128, 128)",,,1,run_001_20251205_173729
4D_EELS,balanced_blosc_lz4hc,25.244310929333448,81.12718963623047,6.33730673789978,0.7312204837799072,0.3155914780073927,2.7351531369326185,2147483648.0,0.0,"(16, 16, 128, 128)",,,1,run_001_20251205_173729
4D_EELS,balanced_blosc_zlib,34.75637196777478,58.92444705963135,10.064096927642822,1.954573154449463,0.1987262259474713,1.0232413125326754,2147483648.0,0.0,"(16, 16, 128, 128)",,,1,run_001_20251205_173729
4D_EELS,balanced_blosc_zstd,34.921895962952554,58.64515495300293,2.70093035697937,0.946803092956543,0.7404855866912218,2.1123716376492627,2147483648.0,0.0,"(16, 16, 128, 128)",,,1,run_001_20251205_173729
4D_EELS,balanced_lz4_hdf5,15.297614256382332,133.87708473205566,1.0769250392913818,1.4438343048095703,1.857139473064906,1.3852004993493927,2147483648.0,0.0,"(16, 16, 128, 128)",,,1,run_001_20251205_173729
4D_EELS,balanced_bitshuffle_lz4,23.523725185676724,87.0610408782959,1.324201583862305,1.1404011249542236,1.5103440626967013,1.7537688767891044,2147483648.0,0.0,"(16, 16, 128, 128)",,,1,run_001_20251205_173729
4D_EELS,single_frame_none,0.9998716802172978,2048.2628326416016,0.8646352291107178,0.4859035015106201,2.3131141696100115,4.116043604917894,2147483648.0,0.0,"(1, 1, 256, 1024)",,,1,run_001_20251205_173729
