dataset,method,n_runs,compression_ratio_mean,compression_ratio_std,compression_ratio_min,compression_ratio_max,compression_ratio_median,compression_ratio_cv_percent,file_size_mb_mean,file_size_mb_std,file_size_mb_min,file_size_mb_max,file_size_mb_median,file_size_mb_cv_percent,write_time_mean,write_time_std,write_time_min,write_time_max,write_time_median,write_time_cv_percent,read_time_mean,read_time_std,read_time_min,read_time_max,read_time_median,read_time_cv_percent,write_throughput_gbs_mean,write_throughput_gbs_std,write_throughput_gbs_min,write_throughput_gbs_max,write_throughput_gbs_median,write_throughput_gbs_cv_percent,read_throughput_gbs_mean,read_throughput_gbs_std,read_throughput_gbs_min,read_throughput_gbs_max,read_throughput_gbs_median,read_throughput_gbs_cv_percent,chunk_size
4D_Diff,single_frame_bitshuffle_lz4,10,6.773181397138546,0.0,6.773181397138546,6.773181397138546,6.773181397138546,0.0,1209.4759492874146,0.0,1209.4759492874146,1209.4759492874146,1209.4759492874146,0.0,6.524424409866333,0.07041085385739285,6.429556369781494,6.633471727371216,6.524830460548401,1.0791887442349166,4.200785207748413,0.026403576271036955,4.170170068740845,4.2507524490356445,4.197275638580322,0.6285390698466361,1.226290110307831,0.013210803900521987,1.2060049893617812,1.244253808489726,1.2260868249884844,1.0772984132772407,1.9044733363454422,0.011927020714561715,1.8820197355446884,1.91838698857084,1.9059987940993204,0.6262634654391579,"(1, 1, 256, 256)"
4D_Diff,single_frame_blosc_blosclz,10,6.550756169570681,9.362222582871203e-16,6.550756169570682,6.550756169570682,6.550756169570682,1.4291819662530314e-14,1250.5426530838013,0.0,1250.5426530838013,1250.5426530838013,1250.5426530838013,0.0,6.32005295753479,0.03945444782691023,6.274301528930664,6.417214155197144,6.3131914138793945,0.6242740067529418,2.923574423789978,0.03964898892574495,2.873093605041504,3.0044314861297607,2.923161029815674,1.356181960107106,1.2658561955487515,0.007834654613617384,1.24664687924136,1.2750423235338912,1.2671879376297719,0.6189213783656557,2.7368255157812573,0.03680147805273227,2.6627333779893965,2.7844550508073107,2.7367633597084935,1.3446775412069658,"(1, 1, 256, 256)"
4D_Diff,single_frame_blosc_lz4,10,6.411169222529091,9.362222582871203e-16,6.41116922252909,6.41116922252909,6.41116922252909,1.4602987782590418e-14,1277.7700471878052,0.0,1277.7700471878052,1277.7700471878052,1277.7700471878052,0.0,3.8763358116149904,0.054047420084701134,3.826401472091675,3.9935269355773926,3.8575940132141113,1.3942914832805329,2.7138566255569456,0.05511436715990739,2.6539223194122314,2.80175256729126,2.7124146223068237,2.030850364049599,2.0641601774872687,0.028331269027190988,2.003241778271202,2.0907372261768598,2.0738315202085706,1.3725324873614724,2.94892512438208,0.05967783897296813,2.85535564182044,3.014406239957985,2.9500565923973414,2.0237149624296773,"(1, 1, 256, 256)"
4D_Diff,single_frame_blosc_lz4hc,10,7.096992476088031,0.0,7.096992476088031,7.096992476088031,7.096992476088031,0.0,1154.29176902771,0.0,1154.29176902771,1154.29176902771,1154.29176902771,0.0,32.308112955093385,0.11956784590732185,32.11197543144226,32.512370347976685,32.32335710525513,0.3700861330821611,2.4393883228302,0.03342632080709708,2.386388301849365,2.507801055908203,2.437411665916443,1.370274691169939,0.24761887627870838,0.0009164984750468745,0.2460601892257252,0.249128242424066,0.24749929199207032,0.37012464026179737,3.2800619507605995,0.0447099953520547,3.190045710026544,3.352346302485764,3.282172302112415,1.36308386924482,"(1, 1, 256, 256)"
4D_Diff,single_frame_blosc_zlib,10,9.784835882852487,0.0,9.784835882852487,9.784835882852487,9.784835882852487,0.0,837.2138376235962,0.0,837.2138376235962,837.2138376235962,837.2138376235962,0.0,42.613100385665895,0.37176537810253957,42.26144886016846,43.37889528274536,42.43865370750427,0.8724203935829865,10.363020968437194,0.037520546140111605,10.299843788146973,10.43073272705078,10.364896535873413,0.3620618568117201,0.18774842879869247,0.001621853807956882,0.1844214784137697,0.1892978167045291,0.18850741013815964,0.8638441441743651,0.7719847697995712,0.0027942484507978878,0.7669643360003862,0.7767108088771574,0.7718378606297325,0.361956421954199,"(1, 1, 256, 256)"
4D_Diff,single_frame_blosc_zstd,10,10.1355845247608,0.0,10.1355845247608,10.1355845247608,10.1355845247608,0.0,808.2414960861206,0.0,808.2414960861206,808.2414960861206,808.2414960861206,0.0,22.994950032234193,0.1257217853016128,22.815470457077023,23.23069930076599,22.970941066741943,0.5467365013856377,3.6655006408691406,0.02130509711468826,3.632665872573853,3.692882776260376,3.6676448583602905,0.5812329392919307,0.34791179742921424,0.0018948441333077636,0.3443718975664333,0.350639274129827,0.348266118786039,0.5446334810458063,2.182578747139711,0.012714696072976225,2.166329256760556,2.2022394243299237,2.181236432592302,0.582553829484455,"(1, 1, 256, 256)"
4D_Diff,single_frame_gzip_1,10,6.926186138565706,0.0,6.926186138565706,6.926186138565706,6.926186138565706,0.0,1182.7577018737793,0.0,1182.7577018737793,1182.7577018737793,1182.7577018737793,0.0,32.43094878196716,0.10416269450583861,32.27820634841919,32.642157316207886,32.423253774642944,0.3211830008616863,11.427013111114501,0.06868229766306709,11.347820043563845,11.54710292816162,11.403874039649963,0.6010520596695837,0.24668023761866587,0.0007909876907921848,0.2450818407160773,0.2478452462211177,0.2467365409670173,0.3206530439681773,0.7001181335451309,0.004191503043083289,0.692814470414845,0.7049812183563283,0.7015159997044429,0.5986851135906334,"(1, 1, 256, 256)"
4D_Diff,single_frame_gzip_6,10,7.703946078940777,9.362222582871203e-16,7.703946078940778,7.703946078940778,7.703946078940778,1.215250273942523e-14,1063.3511600494385,0.0,1063.3511600494385,1063.3511600494385,1063.3511600494385,0.0,140.61850740909577,0.2771747170255667,140.11174130439758,141.12928986549375,140.61423468589783,0.1971111215248455,12.607194876670837,0.05515332838347156,12.507867097854614,12.669933319091797,12.618366479873655,0.43747502059741156,0.05689171446004286,0.00011212908095022376,0.0566856108156185,0.0570972848208325,0.056893245610503546,0.19709211088896986,0.6345692506079696,0.002784278073149645,0.6314161091870256,0.6395974579368678,0.6339965495243352,0.4387666232616972,"(1, 1, 256, 256)"
4D_Diff,single_frame_gzip_9,10,8.032683151288126,0.0,8.032683151288126,8.032683151288126,8.032683151288126,0.0,1019.8335781097412,0.0,1019.8335781097412,1019.8335781097412,1019.8335781097412,0.0,543.3804514408112,14.388773172563814,531.8452632427216,561.1523439884186,532.6005944013596,2.648010824535733,11.49875967502594,0.04360551755969187,11.431857109069824,11.572709083557127,11.502635598182678,0.3792193140134786,0.01473185178156414,0.00038612508247730935,0.0142563781220971,0.0150419690705207,0.0150206398888053,2.621022042595604,0.6957362176786279,0.002638941806424583,0.6912815264117071,0.699798809911029,0.6954928120376149,0.37930206008673734,"(1, 1, 256, 256)"
4D_Diff,single_frame_lz4_hdf5,10,4.932581948265117,0.0,4.932581948265117,4.932581948265117,4.932581948265117,0.0,1660.7934923171997,0.0,1660.7934923171997,1660.7934923171997,1660.7934923171997,0.0,7.862284255027771,0.043308046181005054,7.801170587539673,7.916541576385498,7.871628761291504,0.5508328721810132,6.968267726898193,0.0514151946013445,6.853740215301514,7.034032106399536,6.974680542945862,0.7378475772806035,1.0175438180210457,0.00561200521045151,1.0105422832444224,1.0254871253267943,1.0163100947419021,0.5515246725557167,1.1481181685134216,0.008531748937535475,1.137327762937225,1.1672458757831776,1.1470062609172116,0.7431072141800827,"(1, 1, 256, 256)"
